brand,line,model,size,slot,capacity_l,len_cm,wid_cm,hgt_cm,dia_cm,dims_state,dims_raw,dims_note,dims_source,dims_source_url,fabric,closure,shape,compression_straps,pockets,bags_per_listing,mounting_system,max_load,colorway_count,colorways,image_count,images,product_url
Apidura,Expedition,Tool Pack,1L,saddlebag,1,28,4,8,,packed,MIN 24 cm / MAX 28 cm long; 8 cm tall; 4 cm wide (page: Width 8 cm / 3.2 in),"CORRECTION: catalogue had wid 8; the diagram's plan view is 4 cm across and the 8 cm figure is the side-view height. MIN 24 / MAX 28 cm roll range, MAX used.",maker,,TPU laminate (shiny welded),rolltop with magnetic seal / Fidlock magnetic buckle,,,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2026/03/apidura-expedition-tool-pack-1l-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/03/apidura-expedition-tool-pack-1l-on-bike-1.jpg,https://www.apidura.com/shop/expedition-tool-pack-1l/
Apidura,Expedition,Front Rack Pack,20L,randobag,20,30.5,24.5,27,,unrolled,30.5 cm wide; MIN 10 cm / MAX 40 cm tall; Depth: 24.5 cm (9.6 in); base strap spacing 7.5 cm,"CORRECTION: catalogue had 40 x 26 x 24 with the unrolled height in the len slot. The page gives width 30.5, depth 24.5 and a roll range of MIN 10 to MAX 40 cm height. MAX 40 is fully unrolled; 27 cm is the height that gives the rated 20 L over the 30.5 x 24.5 cm footprint.",maker,,TPU laminate (shiny welded),"rolltop with magnetic seal, compression panel and G-hook",box,3,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2025/07/apidura-expedition-front-rack-pack-20l-on-bike-1.jpg | https://medias.apidura.com/sHRQ6jzh/2025/07/apidura-expedition-front-rack-pack-20l-on-bike-2.jpg,https://www.apidura.com/shop/expedition-front-rack-pack/
Apidura,Expedition,Front Rack Pack,30L,randobag,30,41,30,24.5,,unrolled,41 cm wide; MIN 10 cm / MAX 40 cm tall; Depth: 30 cm (11.8 in); base strap spacing 12 cm,"CORRECTION: catalogue had 46 x 30 x 26. Page gives width 41, depth 30, roll range MIN 10 to MAX 40 cm height. 24.5 cm is the height giving the rated 30 L over the 41 x 30 cm footprint; MAX 40 is fully unrolled.",maker,,TPU laminate (shiny welded),"rolltop with magnetic seal, compression panel and G-hook",box,3,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2025/07/apidura-expedition-front-rack-pack-30l-on-bike-1.jpg | https://medias.apidura.com/sHRQ6jzh/2025/07/apidura-expedition-front-rack-pack-30l-1.jpg,https://www.apidura.com/shop/expedition-front-rack-pack/
Apidura,Expedition,E-Bike Charger Pack,1.6L,downtube,1.6,30,8,7,,packed,MIN 20.5 cm / MAX 30 cm long; 7 cm tall; Width: 8 cm (3.1 in),MIN 20.5 / MAX 30 cm is the roll-down range; MAX is the length at rated 1.6 L.,maker,,TPU laminate (shiny welded),roll-down with quick-release buckle,asymmetric base tapered to clear the chainring,,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2024/02/apidura-expedition-e-bike-charger-pack-product-alone-1.jpg | https://medias.apidura.com/sHRQ6jzh/2024/02/apidura-expedition-e-bike-charger-pack-product-on-bike-1.jpg,https://www.apidura.com/shop/expedition-ebike-charger-pack/
Apidura,Backcountry,Saddle Pack,4.5L,seatpack,4.5,30,14,14,,packed,14 cm tall; MIN 24 cm / MAX 30 cm long; 2.5 cm tail; Width: 14 cm (5.5 in),"CORRECTION: catalogue had wid 12; page states Width 14 cm. MIN 24 / MAX 30 cm roll range, MAX is the length at rated 4.5 L.",maker,,TPU laminate (shiny welded),rolltop with quick-release buckles,tapered,2,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2026/06/apidura-backcountry-saddle-pack-4.5l-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/06/apidura-backcountry-saddle-pack-4.5l-on-bike-1.jpg,https://www.apidura.com/shop/backcountry-saddle-pack/
Apidura,Backcountry,Saddle Pack,6L,seatpack,6,36,16,15,,packed,15 cm tall; MIN 24 cm / MAX 36 cm long; 2.5 cm tail; Width: 16 cm (6.2 in),CORRECTION: catalogue had wid 13; page states Width 16 cm. MAX 36 cm used.,maker,,TPU laminate (shiny welded),rolltop with quick-release buckles,tapered,2,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-saddle-pack-6l-1-1.jpg | https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-saddle-pack-6l-on-bike-1-1.jpg,https://www.apidura.com/shop/backcountry-saddle-pack/
Apidura,Backcountry,Saddle Pack,10L,seatpack,10,42,18,16,,packed,16 cm tall; MIN 30 cm / MAX 42 cm long; 6 cm tail; Width: 18 cm (7.0 in),CORRECTION: catalogue had wid 14; page states Width 18 cm. MAX 42 cm used.,maker,,TPU laminate (shiny welded),rolltop with quick-release buckles,tapered,2,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-saddle-pack-10l-1.jpg | https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-saddle-pack-10l-on-bike-1.jpg,https://www.apidura.com/shop/backcountry-saddle-pack/
Apidura,Backcountry,Handlebar Pack,7L,barroll,7,43,12,12,,packed,12 cm tall; MIN 28.5 cm / MAX 43 cm wide; 13 cm strap spacing; Width: 12 cm (4.7 in),MIN 28.5 / MAX 43 cm is the roll-in range across the bars; MAX is the width at rated 7 L.,maker,,TPU laminate (shiny welded),roll-down with quick-release buckles,barrel,0,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-handlebar-pack-7l-1-2.jpg | https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-handlebar-pack-7l-on-bike-1-2.jpg,https://www.apidura.com/shop/backcountry-handlebar-pack/
Apidura,Backcountry,Handlebar Pack,11L,barroll,11,54,14,14,,packed,14 cm tall; MIN 30 cm / MAX 54 cm wide; 13 cm strap spacing; Width: 14 cm (5.5 in),MIN 30 / MAX 54 cm roll-in range; MAX used.,maker,,TPU laminate (shiny welded),roll-down with quick-release buckles,barrel,0,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-handlebar-pack-11l-1-1.jpg | https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-handlebar-pack-11l-on-bike-1-1.jpg,https://www.apidura.com/shop/backcountry-handlebar-pack/
Apidura,Backcountry,Frame Pack,1L,framebag_half,1,22,6,10.5,,packed,22 cm long; 6 cm and 10.5 cm heights; 3.5 cm rear; Width: 6 cm (2.3 in),"FALSE POSITIVE. Ratio 2.10 against a 2.20 threshold. Dimensions unchanged and correct: 22cm along the top tube, 10.5cm at the tallest point, 6cm across. Box 1.39L against 1L rated, right for a wedge. A half-frame wedge is not a 2.2:1 object. Photos (racing-frame-pack-1l-1.jpg, backcountry-frame-pack-1l-1.jpg) show stubby triangles whose height is roughly two-thirds of their top-tube length. The framebag_half elongation threshold of 2.2 is too strict for the small sizes; these numbers are Apidura's own diagram figures.",maker,,TPU laminate (shiny welded),waterproof zippers,wedge,0,,1,,,1,Black #1c1c1e,0,,https://www.apidura.com/shop/backcountry-frame-pack-1l/
Apidura,Backcountry,Frame Pack,2L,framebag_half,2,32,6,13,,packed,32 cm long; 7.5 cm and 13 cm heights; 4 cm rear; Width: 6 cm (2.3 in),CORRECTION: catalogue had wid 5; page states Width 6 cm.,maker,,TPU laminate (shiny welded),waterproof zippers,wedge,0,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2025/09/apidura-backcountry-frame-pack-2l-2.jpg | https://medias.apidura.com/sHRQ6jzh/2025/09/apidura-backcountry-frame-pack-2l-on-bike-1.jpg,https://www.apidura.com/shop/backcountry-frame-pack/
Apidura,Backcountry,Full Frame Pack,2.5L,framebag_full,2.5,30,6,18,,packed,30 cm top; 18 cm seat-tube side; 31.5 cm downtube diagonal; 8 cm bottom; 5 cm rear; Width: 6 cm (2.4 in),CORRECTION: catalogue had wid 5.5; page states Width 6 cm.,maker,,TPU laminate (shiny welded),"waterproof zippers, dual zip opening on drive side",wedge,0,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2022/03/apidura-backcountry-full-frame-pack-2.5l-1.jpg | https://medias.apidura.com/sHRQ6jzh/2022/03/apidura-backcountry-full-frame-pack-2.5l-on-bike-1.jpg,https://www.apidura.com/shop/backcountry-full-frame-pack/
Apidura,Backcountry,Full Frame Pack,4L,framebag_full,4,38,6,22,,packed,38 cm top; 22 cm seat-tube side; 38 cm downtube diagonal; 9 cm bottom; 5 cm rear; Width: 6 cm (2.4 in),CORRECTION: catalogue had wid 5.5; page states Width 6 cm.,maker,,TPU laminate (shiny welded),"waterproof zippers, dual zip opening on drive side",wedge,0,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-full-frame-pack-4L-1-3.jpg | https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-full-frame-pack-4l-on-bike-1-2.jpg,https://www.apidura.com/shop/backcountry-full-frame-pack/
Apidura,Backcountry,Full Frame Pack,6L,framebag_full,6,44,6,29,,packed,44 cm top; 29 cm seat-tube side; 43 cm downtube diagonal; 9 cm bottom; 5 cm rear; Width: 6 cm (2.4 in),CORRECTION: catalogue had wid 5.5; page states Width 6 cm.,maker,,TPU laminate (shiny welded),"waterproof zippers, dual zip opening on drive side",wedge,0,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-full-frame-pack-6L-1-2.jpg | https://medias.apidura.com/sHRQ6jzh/2018/07/apidura-backcountry-full-frame-pack-6l-on-bike-1-3.jpg,https://www.apidura.com/shop/backcountry-full-frame-pack/
Apidura,Backcountry,Top Tube Pack,1L,toptube,1,23,4.5,10,,packed,23 cm long x 10 cm tall; Width: 4.5 cm (1.8 in),CORRECTION: catalogue had wid 5; page states Width 4.5 cm.,maker,,TPU laminate (shiny welded),waterproof zipper with one-finger puller,,,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2024/01/apidura-backcountry-top-tube-pack-2l-1.jpg | https://medias.apidura.com/sHRQ6jzh/2024/01/apidura-backcountry-top-tube-pack-2l-on-bike-1.jpg,https://www.apidura.com/shop/backcountry-top-tube-pack/
Apidura,Backcountry,Long Top Tube Pack,1.8L,toptube,1.8,37,4.5,10,,packed,37 cm long; 7 cm front and 10 cm rear heights; Width: 4.5 cm (1.8 in),CORRECTION: catalogue had wid 5; page states Width 4.5 cm. hgt is the taller rear end.,maker,,TPU laminate (shiny welded),waterproof two-way zipper,,,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2020/11/apidura-backcountry-long-top-tube-pack-1.8l-1-3.jpg | https://medias.apidura.com/sHRQ6jzh/2020/11/apidura-backcountry-long-top-tube-pack-1.8l-on-bike-1-3.jpg,https://www.apidura.com/shop/backcountry-long-top-tube-pack/
Apidura,Backcountry,Rear Top Tube Pack,1L,toptube,1,16.5,4.5,15,,packed,16.5 cm long x 15 cm tall; Width: 4.5 cm (1.8 in),"FALSE POSITIVE, and the clearest one in the batch. This is a REAR top tube pack — it stands up at the seat-tube junction, it is not a long thin tube bag. Photo (assets/products/apidura/backcountry-rear-top-tube-pack-1l-1.jpg) shows a tall wedge that is very nearly as tall as it is long, exactly as the 16.5 x 15 figures say. Box 1.11L against 1L rated — an almost perfect volume reconciliation, which is the strongest possible evidence the numbers are real. The toptube 2:1 rule should not be applied to rear/seat-tube-junction packs.",maker,,TPU laminate (shiny welded),waterproof zipper with one-finger puller,,,,1,,,1,Black #1c1c1e,0,,https://www.apidura.com/shop/backcountry-rear-top-tube-pack/
